Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
29,29,parle,speak
30,30,compris,understood
31,31,savais,knew
32,32,étaient,were
33,33,attention,Warning
35,36,affaire,case
36,37,donner,give
37,38,type,type
38,39,donné,given
39,40,train,train
40,41,corps,body
41,42,endroit,place
42,43,yeux,eyes
43,44,façon,way
44,45,écoute,listen
45,47,trouve,find
46,48,premier,first
47,49,perdu,lost
48,50,main,hand
49,51,première,first
50,52,côté,side
51,53,pouvoir,power
52,54,sois,be
53,55,tiens,here
54,56,matin,morning
55,57,tellement,so much
56,59,point,point
57,60,suite,after
58,61,venez,come
59,62,devant,in front of
60,63,vers,towards
61,64,minutes,minutes
62,65,demandé,request
63,66,chambre,bedroom
64,67,mis,placed
65,68,belle,beautiful
66,69,droit,law
67,70,aimerais,would like to
68,71,mari,husband
69,72,cause,cause
70,73,enfin,finally
71,74,espère,hope
72,75,eau,water
74,77,parti,left
75,78,nouvelle,new
76,79,boulot,job
77,80,arrêter,Stop
78,81,dirait,would say
79,82,terre,Earth
80,83,compte,account
81,84,donne,given
83,86,fin,end
84,87,croire,believe
85,88,chérie,sweetheart
86,89,gros,large
87,90,plutôt,rather
88,91,aura,will have
89,92,filles,girls
90,93,jouer,to play
91,94,bureau,office
